feature_set,model,n_features,accuracy,f1_macro,best_parameters
all_features,svm_rbf,24,0.7699426699426699,0.7694345113581145,"{'classifier__C': 100, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}"
all_features,logistic_regression,24,0.7644553644553644,0.7634181818807322,"{'classifier__C': 10, 'classifier__class_weight': 'balanced'}"
original_plus_grammar,logistic_regression,16,0.7644226044226045,0.7617534788597972,"{'classifier__C': 0.1, 'classifier__class_weight': None}"
original_plus_word,svm_rbf,14,0.7626535626535625,0.7597229412446878,"{'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.001}"
original_plus_lexical,svm_rbf,14,0.7608353808353808,0.7584004126231991,"{'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.001}"
original_plus_grammar,random_forest,16,0.759033579033579,0.7585718037423973,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}"
original_11,logistic_regression,11,0.758984438984439,0.7550808394925784,"{'classifier__C': 0.1, 'classifier__class_weight': None}"
original_11,svm_rbf,11,0.7571990171990172,0.7545049583415284,"{'classifier__C': 10, 'classifier__class_weight': None, 'classifier__gamma': 0.001}"
original_plus_grammar,svm_rbf,16,0.7571662571662572,0.7546748503987313,"{'classifier__C': 100, 'classifier__class_weight': None, 'classifier__gamma': 0.001}"
original_plus_lexical,logistic_regression,14,0.7571171171171172,0.7532432822889478,"{'classifier__C': 100, 'classifier__class_weight': None}"
all_features,random_forest,24,0.7554135954135954,0.7546537167017888,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 5, 'classifier__n_estimators': 500}"
original_plus_fluency,logistic_regression,14,0.7553644553644554,0.7511037862054535,"{'classifier__C': 100, 'classifier__class_weight': None}"
original_plus_word,logistic_regression,14,0.7517444717444717,0.7479908594106,"{'classifier__C': 0.1, 'classifier__class_weight': None}"
original_plus_fluency,svm_rbf,14,0.75002457002457,0.7493816502910462,"{'classifier__C': 1, 'classifier__class_weight': 'balanced', 'classifier__gamma': 0.001}"
original_plus_fluency,random_forest,14,0.7463718263718263,0.7460611922390434,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}"
original_11,random_forest,11,0.7463390663390663,0.7435008348969996,"{'classifier__class_weight': None, 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 1, 'classifier__n_estimators': 200}"
original_plus_word,random_forest,14,0.7390990990990991,0.7388069656567092,"{'classifier__class_weight': 'balanced', 'classifier__max_depth': 5, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 500}"
original_plus_lexical,random_forest,14,0.739033579033579,0.73573893925246,"{'classifier__class_weight': None, 'classifier__max_depth': 10, 'classifier__min_samples_leaf': 2, 'classifier__n_estimators': 200}"
